Base Year,Year,State,Kind of Economic Activity,Sub Kind of Economic Activity,Value RM Million,Status Data,,
2005,2005,Johor,Agriculture,Agriculture,6189,f,,
2005,2006,Johor,Agriculture,Agriculture,6654,f,,
2005,2007,Johor,Agriculture,Agriculture,6349,f,,
2005,2008,Johor,Agriculture,Agriculture,7171,f,,
2005,2009,Johor,Agriculture,Agriculture,7448,f,,
2005,2010,Johor,Agriculture,Agriculture,7598,f,,
2005,2011,Johor,Agriculture,Agriculture,8135,f,,
2005,2012,Johor,Agriculture,Agriculture,8499,e,,
2005,2013,Johor,Agriculture,Agriculture,8749,p,,
2005,2005,Johor,Mining and Quarrying,Mining and Quarrying,51,f,,
2005,2006,Johor,Mining and Quarrying,Mining and Quarrying,48,f,,
2005,2007,Johor,Mining and Quarrying,Mining and Quarrying,50,f,,
2005,2008,Johor,Mining and Quarrying,Mining and Quarrying,54,f,,
2005,2009,Johor,Mining and Quarrying,Mining and Quarrying,59,f,,
2005,2010,Johor,Mining and Quarrying,Mining and Quarrying,68,f,,
2005,2011,Johor,Mining and Quarrying,Mining and Quarrying,71,f,,
2005,2012,Johor,Mining and Quarrying,Mining and Quarrying,84,e,,
2005,2013,Johor,Mining and Quarrying,Mining and Quarrying,96,p,,
2005,2005,Johor,Manufacturing,Manufacturing,19314,f,,
2005,2006,Johor,Manufacturing,Manufacturing,20066,f,,
2005,2007,Johor,Manufacturing,Manufacturing,20663,f,,
2005,2008,Johor,Manufacturing,Manufacturing,20028,f,,
2005,2009,Johor,Manufacturing,Manufacturing,17650,f,,
2005,2010,Johor,Manufacturing,Manufacturing,21037,f,,
2005,2011,Johor,Manufacturing,Manufacturing,21995,f,,
2005,2012,Johor,Manufacturing,Manufacturing,23336,e,,
2005,2013,Johor,Manufacturing,Manufacturing,24405,p,,
2005,2005,Johor,Construction,Construction,1671,f,,
2005,2006,Johor,Construction,Construction,1568,f,,
2005,2007,Johor,Construction,Construction,1578,f,,
2005,2008,Johor,Construction,Construction,1597,f,,
2005,2009,Johor,Construction,Construction,1817,f,,
2005,2010,Johor,Construction,Construction,2045,f,,
2005,2011,Johor,Construction,Construction,2029,f,,
2005,2012,Johor,Construction,Construction,2397,e,,
2005,2013,Johor,Construction,Construction,2591,p,,
2005,2005,Johor,Services,"Utilities, Transport, Storage and Communication",5122,f,,
2005,2006,Johor,Services,"Utilities, Transport, Storage and Communication",5431,f,,
2005,2007,Johor,Services,"Utilities, Transport, Storage and Communication",5839,f,,
2005,2008,Johor,Services,"Utilities, Transport, Storage and Communication",6091,f,,
2005,2009,Johor,Services,"Utilities, Transport, Storage and Communication",6168,f,,
2005,2010,Johor,Services,"Utilities, Transport, Storage and Communication",6751,f,,
2005,2011,Johor,Services,"Utilities, Transport, Storage and Communication",7297,f,,
2005,2012,Johor,Services,"Utilities, Transport, Storage and Communication",7898,e,,
2005,2013,Johor,Services,"Utilities, Transport, Storage and Communication",8222,p,,
2005,2005,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",4739,f,,
2005,2006,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",5092,f,,
2005,2007,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",5812,f,,
2005,2008,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",6595,f,,
2005,2009,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",6633,f,,
2005,2010,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",7181,f,,
2005,2011,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",7682,f,,
2005,2012,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",8012,e,,
2005,2013,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",8451,p,,
2005,2005,Johor,Services,"Finance and Insurance, Real Estate and Business Services",6491,f,,
2005,2006,Johor,Services,"Finance and Insurance, Real Estate and Business Services",6795,f,,
2005,2007,Johor,Services,"Finance and Insurance, Real Estate and Business Services",7251,f,,
2005,2008,Johor,Services,"Finance and Insurance, Real Estate and Business Services",7868,f,,
2005,2009,Johor,Services,"Finance and Insurance, Real Estate and Business Services",7739,f,,
2005,2010,Johor,Services,"Finance and Insurance, Real Estate and Business Services",8074,f,,
2005,2011,Johor,Services,"Finance and Insurance, Real Estate and Business Services",8630,f,,
2005,2012,Johor,Services,"Finance and Insurance, Real Estate and Business Services",9120,e,,
2005,2013,Johor,Services,"Finance and Insurance, Real Estate and Business Services",9370,p,,
2005,2005,Johor,Services,Other Services,2497,f,,
2005,2006,Johor,Services,Other Services,2531,f,,
2005,2007,Johor,Services,Other Services,2598,f,,
2005,2008,Johor,Services,Other Services,2685,f,,
2005,2009,Johor,Services,Other Services,2765,f,,
2005,2010,Johor,Services,Other Services,2905,f,,
2005,2011,Johor,Services,Other Services,3097,f,,
2005,2012,Johor,Services,Other Services,3208,e,,
2005,2013,Johor,Services,Other Services,3299,p,,
2005,2005,Johor,Services,Government Services,3257,f,,
2005,2006,Johor,Services,Government Services,3632,f,,
2005,2007,Johor,Services,Government Services,3804,f,,
2005,2008,Johor,Services,Government Services,4058,f,,
2005,2009,Johor,Services,Government Services,4223,f,,
2005,2010,Johor,Services,Government Services,4326,f,,
2005,2011,Johor,Services,Government Services,4937,f,,
2005,2012,Johor,Services,Government Services,5544,e,,
2005,2013,Johor,Services,Government Services,5815,p,,
2005,2005,Johor,plus: Import Duties,plus: Import Duties,729,f,,
2005,2006,Johor,plus: Import Duties,plus: Import Duties,720,f,,
2005,2007,Johor,plus: Import Duties,plus: Import Duties,740,f,,
2005,2008,Johor,plus: Import Duties,plus: Import Duties,844,f,,
2005,2009,Johor,plus: Import Duties,plus: Import Duties,767,f,,
2005,2010,Johor,plus: Import Duties,plus: Import Duties,694,f,,
2005,2011,Johor,plus: Import Duties,plus: Import Duties,720,f,,
2005,2012,Johor,plus: Import Duties,plus: Import Duties,801,e,,
2005,2013,Johor,plus: Import Duties,plus: Import Duties,1275,p,,
2005,2005,Kedah,Agriculture,Agriculture,2206,f,,
2005,2006,Kedah,Agriculture,Agriculture,2417,f,,
2005,2007,Kedah,Agriculture,Agriculture,2682,f,,
2005,2008,Kedah,Agriculture,Agriculture,2748,f,,
2005,2009,Kedah,Agriculture,Agriculture,2758,f,,
2005,2010,Kedah,Agriculture,Agriculture,2734,f,,
2005,2011,Kedah,Agriculture,Agriculture,2961,f,,
2005,2012,Kedah,Agriculture,Agriculture,3010,e,,
2005,2013,Kedah,Agriculture,Agriculture,3134,p,,
2005,2005,Kedah,Mining and Quarrying,Mining and Quarrying,17,f,,
2005,2006,Kedah,Mining and Quarrying,Mining and Quarrying,17,f,,
2005,2007,Kedah,Mining and Quarrying,Mining and Quarrying,18,f,,
2005,2008,Kedah,Mining and Quarrying,Mining and Quarrying,18,f,,
2005,2009,Kedah,Mining and Quarrying,Mining and Quarrying,19,f,,
2005,2010,Kedah,Mining and Quarrying,Mining and Quarrying,19,f,,
2005,2011,Kedah,Mining and Quarrying,Mining and Quarrying,20,f,,
2005,2012,Kedah,Mining and Quarrying,Mining and Quarrying,24,e,,
2005,2013,Kedah,Mining and Quarrying,Mining and Quarrying,27,p,,
2005,2005,Kedah,Manufacturing,Manufacturing,6439,f,,
2005,2006,Kedah,Manufacturing,Manufacturing,6984,f,,
2005,2007,Kedah,Manufacturing,Manufacturing,7718,f,,
2005,2008,Kedah,Manufacturing,Manufacturing,6957,f,,
2005,2009,Kedah,Manufacturing,Manufacturing,6416,f,,
2005,2010,Kedah,Manufacturing,Manufacturing,6638,f,,
2005,2011,Kedah,Manufacturing,Manufacturing,7352,f,,
2005,2012,Kedah,Manufacturing,Manufacturing,7852,e,,
2005,2013,Kedah,Manufacturing,Manufacturing,8045,p,,
2005,2005,Kedah,Construction,Construction,480,f,,
2005,2006,Kedah,Construction,Construction,454,f,,
2005,2007,Kedah,Construction,Construction,521,f,,
2005,2008,Kedah,Construction,Construction,571,f,,
2005,2009,Kedah,Construction,Construction,538,f,,
2005,2010,Kedah,Construction,Construction,541,f,,
2005,2011,Kedah,Construction,Construction,545,f,,
2005,2012,Kedah,Construction,Construction,609,e,,
2005,2013,Kedah,Construction,Construction,544,p,,
2005,2005,Kedah,Services,"Utilities, Transport, Storage and Communication",1286,f,,
2005,2006,Kedah,Services,"Utilities, Transport, Storage and Communication",1360,f,,
2005,2007,Kedah,Services,"Utilities, Transport, Storage and Communication",1465,f,,
2005,2008,Kedah,Services,"Utilities, Transport, Storage and Communication",1586,f,,
2005,2009,Kedah,Services,"Utilities, Transport, Storage and Communication",1646,f,,
2005,2010,Kedah,Services,"Utilities, Transport, Storage and Communication",1779,f,,
2005,2011,Kedah,Services,"Utilities, Transport, Storage and Communication",1918,f,,
2005,2012,Kedah,Services,"Utilities, Transport, Storage and Communication",2071,e,,
2005,2013,Kedah,Services,"Utilities, Transport, Storage and Communication",2215,p,,
2005,2005,Kedah,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",2024,f,,
2005,2006,Kedah,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",2145,f,,
2005,2007,Kedah,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",2500,f,,
2005,2008,Kedah,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",2802,f,,
2005,2009,Kedah,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",2905,f,,
2005,2010,Kedah,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",3164,f,,
2005,2011,Kedah,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",3317,f,,
2005,2012,Kedah,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",3421,e,,
2005,2013,Kedah,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",3716,p,,
2005,2005,Kedah,Services,"Finance and Insurance, Real Estate and Business Services",1562,f,,
2005,2006,Kedah,Services,"Finance and Insurance, Real Estate and Business Services",1764,f,,
2005,2007,Kedah,Services,"Finance and Insurance, Real Estate and Business Services",1871,f,,
2005,2008,Kedah,Services,"Finance and Insurance, Real Estate and Business Services",2035,f,,
2005,2009,Kedah,Services,"Finance and Insurance, Real Estate and Business Services",2161,f,,
2005,2010,Kedah,Services,"Finance and Insurance, Real Estate and Business Services",2279,f,,
2005,2011,Kedah,Services,"Finance and Insurance, Real Estate and Business Services",2490,f,,
2005,2012,Kedah,Services,"Finance and Insurance, Real Estate and Business Services",2708,e,,
2005,2013,Kedah,Services,"Finance and Insurance, Real Estate and Business Services",2773,p,,
2005,2005,Kedah,Services,Other Services,1614,f,,
2005,2006,Kedah,Services,Other Services,1652,f,,
2005,2007,Kedah,Services,Other Services,1689,f,,
2005,2008,Kedah,Services,Other Services,1798,f,,
2005,2009,Kedah,Services,Other Services,1867,f,,
2005,2010,Kedah,Services,Other Services,1926,f,,
2005,2011,Kedah,Services,Other Services,2010,f,,
2005,2012,Kedah,Services,Other Services,2060,e,,
2005,2013,Kedah,Services,Other Services,2140,p,,
2005,2005,Kedah,Services,Government Services,2091,f,,
2005,2006,Kedah,Services,Government Services,2328,f,,
2005,2007,Kedah,Services,Government Services,2443,f,,
2005,2008,Kedah,Services,Government Services,2553,f,,
2005,2009,Kedah,Services,Government Services,2641,f,,
2005,2010,Kedah,Services,Government Services,2789,f,,
2005,2011,Kedah,Services,Government Services,3094,f,,
2005,2012,Kedah,Services,Government Services,3361,e,,
2005,2013,Kedah,Services,Government Services,3668,p,,
2005,2005,Kedah,plus: Import Duties,plus: Import Duties,110,f,,
2005,2006,Kedah,plus: Import Duties,plus: Import Duties,134,f,,
2005,2007,Kedah,plus: Import Duties,plus: Import Duties,127,f,,
2005,2008,Kedah,plus: Import Duties,plus: Import Duties,140,f,,
2005,2009,Kedah,plus: Import Duties,plus: Import Duties,142,f,,
2005,2010,Kedah,plus: Import Duties,plus: Import Duties,130,f,,
2005,2011,Kedah,plus: Import Duties,plus: Import Duties,129,f,,
2005,2012,Kedah,plus: Import Duties,plus: Import Duties,162,e,,
2005,2013,Kedah,plus: Import Duties,plus: Import Duties,171,p,,
2005,2005,Kelantan,Agriculture,Agriculture,2345,f,,
2005,2006,Kelantan,Agriculture,Agriculture,2618,f,,
2005,2007,Kelantan,Agriculture,Agriculture,2989,f,,
2005,2008,Kelantan,Agriculture,Agriculture,3028,f,,
2005,2009,Kelantan,Agriculture,Agriculture,2941,f,,
2005,2010,Kelantan,Agriculture,Agriculture,3071,f,,
2005,2011,Kelantan,Agriculture,Agriculture,3250,f,,
2005,2012,Kelantan,Agriculture,Agriculture,3262,e,,
2005,2013,Kelantan,Agriculture,Agriculture,3278,p,,
2005,2005,Kelantan,Mining and Quarrying,Mining and Quarrying,17,f,,
2005,2006,Kelantan,Mining and Quarrying,Mining and Quarrying,14,f,,
2005,2007,Kelantan,Mining and Quarrying,Mining and Quarrying,16,f,,
2005,2008,Kelantan,Mining and Quarrying,Mining and Quarrying,16,f,,
2005,2009,Kelantan,Mining and Quarrying,Mining and Quarrying,16,f,,
2005,2010,Kelantan,Mining and Quarrying,Mining and Quarrying,16,f,,
2005,2011,Kelantan,Mining and Quarrying,Mining and Quarrying,18,f,,
2005,2012,Kelantan,Mining and Quarrying,Mining and Quarrying,21,e,,
2005,2013,Kelantan,Mining and Quarrying,Mining and Quarrying,24,p,,
2005,2005,Kelantan,Manufacturing,Manufacturing,546,f,,
2005,2006,Kelantan,Manufacturing,Manufacturing,511,f,,
2005,2007,Kelantan,Manufacturing,Manufacturing,538,f,,
2005,2008,Kelantan,Manufacturing,Manufacturing,572,f,,
2005,2009,Kelantan,Manufacturing,Manufacturing,570,f,,
2005,2010,Kelantan,Manufacturing,Manufacturing,691,f,,
2005,2011,Kelantan,Manufacturing,Manufacturing,720,f,,
2005,2012,Kelantan,Manufacturing,Manufacturing,739,e,,
2005,2013,Kelantan,Manufacturing,Manufacturing,728,p,,
2005,2005,Kelantan,Construction,Construction,177,f,,
2005,2006,Kelantan,Construction,Construction,169,f,,
2005,2007,Kelantan,Construction,Construction,159,f,,
2005,2008,Kelantan,Construction,Construction,176,f,,
2005,2009,Kelantan,Construction,Construction,195,f,,
2005,2010,Kelantan,Construction,Construction,207,f,,
2005,2011,Kelantan,Construction,Construction,205,f,,
2005,2012,Kelantan,Construction,Construction,229,e,,
2005,2013,Kelantan,Construction,Construction,184,p,,
2005,2005,Kelantan,Services,"Utilities, Transport, Storage and Communication",724,f,,
2005,2006,Kelantan,Services,"Utilities, Transport, Storage and Communication",744,f,,
2005,2007,Kelantan,Services,"Utilities, Transport, Storage and Communication",787,f,,
2005,2008,Kelantan,Services,"Utilities, Transport, Storage and Communication",824,f,,
2005,2009,Kelantan,Services,"Utilities, Transport, Storage and Communication",854,f,,
2005,2010,Kelantan,Services,"Utilities, Transport, Storage and Communication",936,f,,
2005,2011,Kelantan,Services,"Utilities, Transport, Storage and Communication",1009,f,,
2005,2012,Kelantan,Services,"Utilities, Transport, Storage and Communication",1072,e,,
2005,2013,Kelantan,Services,"Utilities, Transport, Storage and Communication",1128,p,,
2005,2005,Kelantan,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",1624,f,,
2005,2006,Kelantan,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",1681,f,,
2005,2007,Kelantan,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",1883,f,,
2005,2008,Kelantan,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",2058,f,,
2005,2009,Kelantan,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",2164,f,,
2005,2010,Kelantan,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",2199,f,,
2005,2011,Kelantan,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",2304,f,,
2005,2012,Kelantan,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",2406,e,,
2005,2013,Kelantan,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",2510,p,,
2005,2005,Kelantan,Services,"Finance and Insurance, Real Estate and Business Services",648,f,,
2005,2006,Kelantan,Services,"Finance and Insurance, Real Estate and Business Services",734,f,,
2005,2007,Kelantan,Services,"Finance and Insurance, Real Estate and Business Services",787,f,,
2005,2008,Kelantan,Services,"Finance and Insurance, Real Estate and Business Services",921,f,,
2005,2009,Kelantan,Services,"Finance and Insurance, Real Estate and Business Services",923,f,,
2005,2010,Kelantan,Services,"Finance and Insurance, Real Estate and Business Services",992,f,,
2005,2011,Kelantan,Services,"Finance and Insurance, Real Estate and Business Services",1044,f,,
2005,2012,Kelantan,Services,"Finance and Insurance, Real Estate and Business Services",1136,e,,
2005,2013,Kelantan,Services,"Finance and Insurance, Real Estate and Business Services",1162,p,,
2005,2005,Kelantan,Services,Other Services,1142,f,,
2005,2006,Kelantan,Services,Other Services,1174,f,,
2005,2007,Kelantan,Services,Other Services,1204,f,,
2005,2008,Kelantan,Services,Other Services,1263,f,,
2005,2009,Kelantan,Services,Other Services,1313,f,,
2005,2010,Kelantan,Services,Other Services,1357,f,,
2005,2011,Kelantan,Services,Other Services,1410,f,,
2005,2012,Kelantan,Services,Other Services,1458,e,,
2005,2013,Kelantan,Services,Other Services,1531,p,,
2005,2005,Kelantan,Services,Government Services,1798,f,,
2005,2006,Kelantan,Services,Government Services,2003,f,,
2005,2007,Kelantan,Services,Government Services,2106,f,,
2005,2008,Kelantan,Services,Government Services,2328,f,,
2005,2009,Kelantan,Services,Government Services,2438,f,,
2005,2010,Kelantan,Services,Government Services,2501,f,,
2005,2011,Kelantan,Services,Government Services,2796,f,,
2005,2012,Kelantan,Services,Government Services,3129,e,,
2005,2013,Kelantan,Services,Government Services,3389,p,,
2005,2005,Kelantan,plus: Import Duties,plus: Import Duties,11,f,,
2005,2006,Kelantan,plus: Import Duties,plus: Import Duties,10,f,,
2005,2007,Kelantan,plus: Import Duties,plus: Import Duties,14,f,,
2005,2008,Kelantan,plus: Import Duties,plus: Import Duties,18,f,,
2005,2009,Kelantan,plus: Import Duties,plus: Import Duties,22,f,,
2005,2010,Kelantan,plus: Import Duties,plus: Import Duties,21,f,,
2005,2011,Kelantan,plus: Import Duties,plus: Import Duties,23,f,,
2005,2012,Kelantan,plus: Import Duties,plus: Import Duties,24,e,,
2005,2013,Kelantan,plus: Import Duties,plus: Import Duties,27,p,,
2005,2005,Melaka,Agriculture,Agriculture,813,f,,
2005,2006,Melaka,Agriculture,Agriculture,962,f,,
2005,2007,Melaka,Agriculture,Agriculture,1050,f,,
2005,2008,Melaka,Agriculture,Agriculture,1252,f,,
2005,2009,Melaka,Agriculture,Agriculture,1450,f,,
2005,2010,Melaka,Agriculture,Agriculture,1794,f,,
2005,2011,Melaka,Agriculture,Agriculture,1904,f,,
2005,2012,Melaka,Agriculture,Agriculture,1996,e,,
2005,2013,Melaka,Agriculture,Agriculture,2171,p,,
2005,2005,Melaka,Mining and Quarrying,Mining and Quarrying,8,f,,
2005,2006,Melaka,Mining and Quarrying,Mining and Quarrying,7,f,,
2005,2007,Melaka,Mining and Quarrying,Mining and Quarrying,8,f,,
2005,2008,Melaka,Mining and Quarrying,Mining and Quarrying,8,f,,
2005,2009,Melaka,Mining and Quarrying,Mining and Quarrying,8,f,,
2005,2010,Melaka,Mining and Quarrying,Mining and Quarrying,8,f,,
2005,2011,Melaka,Mining and Quarrying,Mining and Quarrying,9,f,,
2005,2012,Melaka,Mining and Quarrying,Mining and Quarrying,10,e,,
2005,2013,Melaka,Mining and Quarrying,Mining and Quarrying,12,p,,
2005,2005,Melaka,Manufacturing,Manufacturing,7594,f,,
2005,2006,Melaka,Manufacturing,Manufacturing,8313,f,,
2005,2007,Melaka,Manufacturing,Manufacturing,8496,f,,
2005,2008,Melaka,Manufacturing,Manufacturing,8527,f,,
2005,2009,Melaka,Manufacturing,Manufacturing,7992,f,,
2005,2010,Melaka,Manufacturing,Manufacturing,8441,f,,
2005,2011,Melaka,Manufacturing,Manufacturing,8527,f,,
2005,2012,Melaka,Manufacturing,Manufacturing,9030,e,,
2005,2013,Melaka,Manufacturing,Manufacturing,9190,p,,
2005,2005,Melaka,Construction,Construction,340,f,,
2005,2006,Melaka,Construction,Construction,314,f,,
2005,2007,Melaka,Construction,Construction,486,f,,
2005,2008,Melaka,Construction,Construction,524,f,,
2005,2009,Melaka,Construction,Construction,553,f,,
2005,2010,Melaka,Construction,Construction,570,f,,
2005,2011,Melaka,Construction,Construction,579,f,,
2005,2012,Melaka,Construction,Construction,906,e,,
2005,2013,Melaka,Construction,Construction,693,p,,
2005,2005,Melaka,Services,"Utilities, Transport, Storage and Communication",1257,f,,
2005,2006,Melaka,Services,"Utilities, Transport, Storage and Communication",1311,f,,
2005,2007,Melaka,Services,"Utilities, Transport, Storage and Communication",1372,f,,
2005,2008,Melaka,Services,"Utilities, Transport, Storage and Communication",1453,f,,
2005,2009,Melaka,Services,"Utilities, Transport, Storage and Communication",1503,f,,
2005,2010,Melaka,Services,"Utilities, Transport, Storage and Communication",1618,f,,
2005,2011,Melaka,Services,"Utilities, Transport, Storage and Communication",1719,f,,
2005,2012,Melaka,Services,"Utilities, Transport, Storage and Communication",1799,e,,
2005,2013,Melaka,Services,"Utilities, Transport, Storage and Communication",1979,p,,
2005,2005,Melaka,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",1861,f,,
2005,2006,Melaka,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",2031,f,,
2005,2007,Melaka,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",2351,f,,
2005,2008,Melaka,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",2670,f,,
2005,2009,Melaka,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",2965,f,,
2005,2010,Melaka,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",3040,f,,
2005,2011,Melaka,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",3242,f,,
2005,2012,Melaka,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",3362,e,,
2005,2013,Melaka,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",3541,p,,
2005,2005,Melaka,Services,"Finance and Insurance, Real Estate and Business Services",1277,f,,
2005,2006,Melaka,Services,"Finance and Insurance, Real Estate and Business Services",1363,f,,
2005,2007,Melaka,Services,"Finance and Insurance, Real Estate and Business Services",1496,f,,
2005,2008,Melaka,Services,"Finance and Insurance, Real Estate and Business Services",1568,f,,
2005,2009,Melaka,Services,"Finance and Insurance, Real Estate and Business Services",1681,f,,
2005,2010,Melaka,Services,"Finance and Insurance, Real Estate and Business Services",1814,f,,
2005,2011,Melaka,Services,"Finance and Insurance, Real Estate and Business Services",1873,f,,
2005,2012,Melaka,Services,"Finance and Insurance, Real Estate and Business Services",2006,e,,
2005,2013,Melaka,Services,"Finance and Insurance, Real Estate and Business Services",2023,p,,
2005,2005,Melaka,Services,Other Services,960,f,,
2005,2006,Melaka,Services,Other Services,941,f,,
2005,2007,Melaka,Services,Other Services,1007,f,,
2005,2008,Melaka,Services,Other Services,1052,f,,
2005,2009,Melaka,Services,Other Services,1088,f,,
2005,2010,Melaka,Services,Other Services,1131,f,,
2005,2011,Melaka,Services,Other Services,1206,f,,
2005,2012,Melaka,Services,Other Services,1242,e,,
2005,2013,Melaka,Services,Other Services,1291,p,,
2005,2005,Melaka,Services,Government Services,927,f,,
2005,2006,Melaka,Services,Government Services,1077,f,,
2005,2007,Melaka,Services,Government Services,1124,f,,
2005,2008,Melaka,Services,Government Services,1184,f,,
2005,2009,Melaka,Services,Government Services,1202,f,,
2005,2010,Melaka,Services,Government Services,1265,f,,
2005,2011,Melaka,Services,Government Services,1408,f,,
2005,2012,Melaka,Services,Government Services,1579,e,,
2005,2013,Melaka,Services,Government Services,1726,p,,
2005,2005,Melaka,plus: Import Duties,plus: Import Duties,13,f,,
2005,2006,Melaka,plus: Import Duties,plus: Import Duties,14,f,,
2005,2007,Melaka,plus: Import Duties,plus: Import Duties,32,f,,
2005,2008,Melaka,plus: Import Duties,plus: Import Duties,11,f,,
2005,2009,Melaka,plus: Import Duties,plus: Import Duties,29,f,,
2005,2010,Melaka,plus: Import Duties,plus: Import Duties,8,f,,
2005,2011,Melaka,plus: Import Duties,plus: Import Duties,8,f,,
2005,2012,Melaka,plus: Import Duties,plus: Import Duties,15,e,,
2005,2013,Melaka,plus: Import Duties,plus: Import Duties,20,p,,
2005,2005,Negeri Sembilan,Agriculture,Agriculture,1638,f,,
2005,2006,Negeri Sembilan,Agriculture,Agriculture,1817,f,,
2005,2007,Negeri Sembilan,Agriculture,Agriculture,1771,f,,
2005,2008,Negeri Sembilan,Agriculture,Agriculture,1832,f,,
2005,2009,Negeri Sembilan,Agriculture,Agriculture,1941,f,,
2005,2010,Negeri Sembilan,Agriculture,Agriculture,2016,f,,
2005,2011,Negeri Sembilan,Agriculture,Agriculture,2126,f,,
2005,2012,Negeri Sembilan,Agriculture,Agriculture,2178,e,,
2005,2013,Negeri Sembilan,Agriculture,Agriculture,2177,p,,
2005,2005,Negeri Sembilan,Mining and Quarrying,Mining and Quarrying,18,f,,
2005,2006,Negeri Sembilan,Mining and Quarrying,Mining and Quarrying,18,f,,
2005,2007,Negeri Sembilan,Mining and Quarrying,Mining and Quarrying,19,f,,
2005,2008,Negeri Sembilan,Mining and Quarrying,Mining and Quarrying,19,f,,
2005,2009,Negeri Sembilan,Mining and Quarrying,Mining and Quarrying,20,f,,
2005,2010,Negeri Sembilan,Mining and Quarrying,Mining and Quarrying,21,f,,
2005,2011,Negeri Sembilan,Mining and Quarrying,Mining and Quarrying,21,f,,
2005,2012,Negeri Sembilan,Mining and Quarrying,Mining and Quarrying,25,e,,
2005,2013,Negeri Sembilan,Mining and Quarrying,Mining and Quarrying,28,p,,
2005,2005,Negeri Sembilan,Manufacturing,Manufacturing,10528,f,,
2005,2006,Negeri Sembilan,Manufacturing,Manufacturing,11477,f,,
2005,2007,Negeri Sembilan,Manufacturing,Manufacturing,11877,f,,
2005,2008,Negeri Sembilan,Manufacturing,Manufacturing,12038,f,,
2005,2009,Negeri Sembilan,Manufacturing,Manufacturing,11755,f,,
2005,2010,Negeri Sembilan,Manufacturing,Manufacturing,12289,f,,
2005,2011,Negeri Sembilan,Manufacturing,Manufacturing,12895,f,,
2005,2012,Negeri Sembilan,Manufacturing,Manufacturing,13395,e,,
2005,2013,Negeri Sembilan,Manufacturing,Manufacturing,13483,p,,
2005,2005,Negeri Sembilan,Construction,Construction,412,f,,
2005,2006,Negeri Sembilan,Construction,Construction,403,f,,
2005,2007,Negeri Sembilan,Construction,Construction,436,f,,
2005,2008,Negeri Sembilan,Construction,Construction,495,f,,
2005,2009,Negeri Sembilan,Construction,Construction,540,f,,
2005,2010,Negeri Sembilan,Construction,Construction,583,f,,
2005,2011,Negeri Sembilan,Construction,Construction,612,f,,
2005,2012,Negeri Sembilan,Construction,Construction,693,e,,
2005,2013,Negeri Sembilan,Construction,Construction,711,p,,
2005,2005,Negeri Sembilan,Services,"Utilities, Transport, Storage and Communication",1564,f,,
2005,2006,Negeri Sembilan,Services,"Utilities, Transport, Storage and Communication",1943,f,,
2005,2007,Negeri Sembilan,Services,"Utilities, Transport, Storage and Communication",2047,f,,
2005,2008,Negeri Sembilan,Services,"Utilities, Transport, Storage and Communication",2142,f,,
2005,2009,Negeri Sembilan,Services,"Utilities, Transport, Storage and Communication",2178,f,,
2005,2010,Negeri Sembilan,Services,"Utilities, Transport, Storage and Communication",2380,f,,
2005,2011,Negeri Sembilan,Services,"Utilities, Transport, Storage and Communication",2510,f,,
2005,2012,Negeri Sembilan,Services,"Utilities, Transport, Storage and Communication",2698,e,,
2005,2013,Negeri Sembilan,Services,"Utilities, Transport, Storage and Communication",2723,p,,
2005,2005,Negeri Sembilan,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",1686,f,,
